Date,Open,High,Low,Close,Volume,Status
2022-06-06,193.99,196.92,188.4,194.25,30574242,ok
2022-06-07,191.93,196.53,191.49,195.65,18828687,ok
2022-06-08,194.67,202.03,194.41,196.64,22267154,ok
2022-06-09,194.28,199.45,183.68,184.0,23501579,ok
2022-06-10,183.04,183.1,175.02,175.57,27478354,ok
2022-06-13,170.59,172.575,164.03,164.26,31749304,ok
2022-06-14,166.03,166.75,161.3601,163.73,27244274,ok
2022-06-15,167.2,172.16,163.975,169.35,30008251,ok
2022-06-16,163.72,165.08,159.61,160.87,26944143,ok
2022-06-17,161.68,165.9,159.9,163.74,31374215,ok
2022-06-21,165.93,167.76,155.97,157.05,50724899,ok
2022-06-22,158.38,160.79,155.44,155.85,47596820,ok
2022-06-23,156.27,159.75,154.25,158.75,40499198,ok
2022-06-24,161.725,170.25,161.3,170.16,68736009,ok
2022-06-27,171.32,171.75,168.01,169.49,29174559,ok
2022-06-28,169.9,171.3,160.61,160.68,27788725,ok
2022-06-29,163.57,166.33,160.32,163.94,28595236,ok
2022-06-30,162.15,165.23,158.49,161.25,35250605,ok
2022-07-01,160.31,160.62,155.0,160.03,31423933,ok
2022-07-05,158.14,168.25,157.02,168.19,28664799,ok
2022-07-06,168.2,171.59,165.46,169.77,23085921,ok
2022-07-07,169.45,172.72,167.78,172.19,24083368,ok
2022-07-08,169.98,172.4,168.1501,170.88,19249243,ok
