Date,Open,High,Low,Close,Volume,Status
2021-06-30,46.0,46.5,41.11,42.5,20587281,ok
2021-07-01,44.28,44.75,39.94,40.04,6293429,ok
2021-07-02,42.11,45.2,41.33,44.59,4637064,ok
2021-07-06,45.81,50.59,45.53,49.5,7135819,ok
2021-07-07,52.98,54.05,49.8,51.49,7092822,ok
2021-07-08,50.0,50.98,45.25,50.0,3722163,ok
2021-07-09,51.38,51.8,48.25,49.24,1495713,ok
2021-07-12,50.5,51.17,48.41,50.58,1445027,ok
2021-07-13,50.63,51.04,47.33,49.01,1467982,ok
2021-07-14,49.01,50.14,44.99,46.0,2561610,ok
2021-07-15,47.06,47.24,42.8,43.4,1686044,ok
2021-07-16,43.5,47.35,43.2101,44.15,1608485,ok
2021-07-19,43.91,47.82,43.0201,47.0,1757437,ok
2021-07-20,47.24,47.75,45.2627,47.45,988434,ok
2021-07-21,47.45,49.31,46.55,47.1,931977,ok
2021-07-22,46.35,48.7,45.821,47.77,1011937,ok
2021-07-23,48.09,49.2,46.06,46.56,753020,ok
2021-07-26,48.49,50.38,47.72,49.5,1793282,ok
2021-07-27,49.75,50.03,46.6701,47.6,1003737,ok
2021-07-28,48.0,50.87,48.0,49.81,1288345,ok
2021-07-29,50.4,51.74,49.6744,50.56,1066932,ok
2021-07-30,50.0,55.29,48.59,49.31,2361125,ok
2021-08-02,50.7,53.03,50.1709,51.97,1174844,ok
2021-08-03,52.12,53.5,51.37,51.87,1271536,ok
2021-08-04,51.5,51.96,49.63,50.06,1232317,ok
2021-08-05,50.0,52.7,49.75,52.5,1421025,ok
2021-08-06,52.53,53.09,50.3538,50.89,922114,ok
2021-08-09,51.08,51.96,49.7,50.61,730624,ok
2021-08-10,50.59,51.25,49.01,49.31,1040822,ok
2021-08-11,49.01,49.125,46.57,46.64,1371695,ok
2021-08-12,47.1,50.33,46.65,49.68,930071,ok
2021-08-13,49.68,50.95,48.8848,50.36,580469,ok
2021-08-16,49.49,50.28,47.54,49.35,887367,ok
2021-08-17,48.5,48.5,46.2501,47.02,1319011,ok
2021-08-18,47.24,49.78,47.24,48.7,608757,ok
2021-08-19,47.99,51.5,47.78,50.36,925397,ok
2021-08-20,50.01,51.36,49.13,51.29,707137,ok
2021-08-23,51.2,56.0,51.2,53.13,2008833,ok
2021-08-24,54.97,59.12,54.5,56.7,2206050,ok
2021-08-25,57.7,60.11,55.8601,59.39,1341002,ok
2021-08-26,59.64,64.03,59.46,61.01,2035007,ok
2021-08-27,62.5,66.0,62.35,64.9,1705914,ok
2021-08-30,65.03,66.66,64.18,65.19,1432935,ok
2021-09-13,64.18,64.44,58.52,60.09,2849847,ok
