Date,Open,High,Low,Close,Volume,Status
2020-04-08,37.49,41.03,36.67,40.89,1763535,ok
2020-04-09,42.31,45.58,42.21,44.12,2800039,ok
2020-04-13,44.0732,44.0732,42.12,43.13,1299760,ok
2020-04-14,43.26,44.45,42.96,43.95,1636683,ok
2020-04-15,41.56,42.83,40.0,41.31,1262792,ok
2020-04-16,41.13,41.74,37.0,37.07,1604605,ok
2020-04-17,39.01,39.745,38.22,38.66,1467264,ok
2020-04-20,37.34,38.2,36.33,37.19,2301105,ok
2020-04-21,35.77,36.74,35.21,35.59,1381521,ok
2020-04-22,35.55,36.07,34.88,35.44,1614574,ok
2020-04-23,35.8,36.99,35.08,35.62,2042648,ok
2020-04-24,35.75,36.105,34.84,35.43,1568672,ok
2020-04-27,35.21,37.815,35.0,37.44,1237311,ok
2020-04-28,38.97,42.0,38.7326,40.53,1596972,ok
2020-04-29,42.06,45.89,41.62,44.41,2762936,ok
2020-04-30,43.47,44.49,42.4701,43.91,2539125,ok
2020-05-01,42.48,43.14,40.57,40.92,1379988,ok
2020-05-04,39.48,40.42,39.03,40.23,1057818,ok
2020-05-05,40.9,41.97,40.08,40.32,1465386,ok
2020-05-06,40.01,41.0,37.87,38.13,1057948,ok
2020-05-07,38.65,40.22,38.52,39.12,1271038,ok
2020-05-08,40.96,43.11,39.72,41.96,1482489,ok
2020-05-11,41.47,41.99,39.82,40.58,1128894,ok
2020-05-12,40.64,40.825,38.36,38.51,1638833,ok
2020-05-13,38.05,38.09,35.86,36.07,1186816,ok
2020-05-14,35.35,36.94,33.56,36.51,2250387,ok
2020-05-15,35.46,36.93,34.4107,36.81,3842408,ok
2020-05-18,38.48,41.77,38.48,41.315,1609931,ok
2020-05-19,41.22,42.065,40.045,41.65,2108912,ok
2020-05-20,41.65,42.22,40.66,41.37,1305199,ok
2020-05-21,40.71,42.62,40.71,42.09,1652594,ok
2020-05-22,42.6,42.6,40.57,41.26,981287,ok
2020-05-26,43.26,45.26,43.02,45.12,1541007,ok
2020-05-27,46.33,46.86,44.679,45.845,1743953,ok
2020-05-28,46.71,46.71,44.15,44.69,1657956,ok
2020-05-29,43.56,44.31,42.69,42.79,1725515,ok
2020-06-01,42.97,45.725,42.75,45.4,991375,ok
2020-06-02,45.9,46.405,45.325,45.79,1465991,ok
2020-06-03,46.58,50.25,46.58,49.25,1424651,ok
2020-06-04,48.81,50.33,47.79,49.81,1184039,ok
2020-06-05,52.42,54.57,50.61,50.8,2260051,ok
2020-06-08,50.56,54.26,50.56,53.7,1510298,ok
2020-06-09,51.7,52.01,50.56,50.78,1254468,ok
2020-06-10,50.01,50.1,47.01,48.16,1760309,ok
2020-06-11,45.47,46.5,44.22,44.72,1864815,ok
2020-06-12,47.78,48.05,45.75,47.89,1569109,ok
2020-06-15,45.66,48.47,45.43,47.94,1221754,ok
2020-06-16,49.86,50.77,48.11,49.07,1529972,ok
2020-06-17,49.15,49.21,46.77,46.86,1034854,ok
2020-06-18,45.45,47.1,45.265,46.45,960551,ok
2020-06-19,46.52,47.9,44.14,44.635,3439106,ok
2020-06-22,44.42,45.47,43.72,45.41,1489633,ok
2020-06-23,46.46,46.87,45.2,46.13,1228040,ok
2020-06-24,45.31,45.3107,42.49,44.36,1193487,ok
2020-06-25,43.96,45.29,43.6,45.075,937108,ok
2020-06-26,44.84,45.47,43.82,44.49,1191047,ok
2020-06-29,45.46,45.86,44.0,45.82,867671,ok
2020-06-30,45.96,46.98,45.27,45.89,978107,ok
2020-07-01,46.39,47.27,45.91,46.17,824922,ok
2020-07-02,47.45,47.81,45.385,45.73,685754,ok
2020-07-06,46.95,47.83,45.48,45.98,1058166,ok
2020-07-07,45.33,45.33,43.8,44.09,734327,ok
2020-07-08,43.91,44.14,42.77,43.4,1198648,ok
2020-07-09,43.17,43.275,41.18,42.12,889536,ok
2020-07-10,42.1,43.71,42.05,42.94,940123,ok
2020-07-13,43.38,43.75,42.19,42.59,908478,ok
2020-07-14,43.17,43.19,41.72,42.07,1067589,ok
2020-07-15,43.11,43.77,42.38,42.965,1356115,ok
2020-07-16,42.53,42.94,41.91,42.1,790838,ok
2020-07-17,42.44,42.44,41.635,41.7,693741,ok
2020-07-20,41.65,41.89,40.67,41.17,1266879,ok
2020-07-21,40.89,41.69,40.36,40.58,1453994,ok
2020-07-22,40.46,41.55,40.05,41.37,1171089,ok
2020-07-23,41.05,41.46,39.85,40.43,930370,ok
2020-07-24,40.48,40.79,39.855,39.96,1157106,ok
2020-07-27,39.16,40.03,38.48,39.91,1246434,ok
2020-07-28,39.65,42.31,39.49,41.75,1384595,ok
2020-07-29,42.24,42.47,41.08,42.11,1123000,ok
2020-07-30,41.14,42.06,40.33,41.81,896356,ok
2020-07-31,41.68,41.68,40.1,41.03,3933234,ok
2020-08-03,40.57,40.91,39.74,40.59,1182621,ok
2020-08-04,40.77,41.27,39.43,41.06,1457290,ok
2020-08-05,41.65,41.98,40.81,40.98,757809,ok
2020-08-06,40.36,41.75,40.22,40.96,781897,ok
2020-08-07,40.43,41.7,40.18,41.65,678580,ok
2020-08-10,41.55,43.735,41.51,42.87,1249309,ok
2020-08-11,43.66,44.815,43.31,43.5,1281359,ok
2020-08-12,43.96,44.24,42.78,43.67,975604,ok
2020-08-13,42.92,43.34,42.21,42.49,1049225,ok
2020-08-14,42.4,43.48,42.03,42.88,921944,ok
2020-08-17,42.42,43.02,42.14,42.72,488301,ok
2020-08-18,42.9,42.9,41.28,41.82,583011,ok
2020-08-19,41.25,41.7,40.15,40.2,753272,ok
2020-08-20,40.2,41.48,40.0,41.15,1158658,ok
2020-08-21,41.26,41.31,40.135,40.46,616358,ok
2020-08-24,40.47,41.31,39.9,41.05,826520,ok
2020-08-25,41.4,41.59,40.22,40.95,685650,ok
2020-08-26,41.18,41.19,39.88,40.1,782444,ok
2020-08-27,40.63,41.31,40.54,40.65,749906,ok
2020-08-28,40.66,40.66,39.565,40.44,1092367,ok
2020-08-31,40.6,40.6,39.35,39.71,1382597,ok
2020-09-01,39.33,39.62,38.88,39.4,1008315,ok
2020-09-02,39.48,41.13,39.09,41.03,2427227,ok
2020-09-03,41.12,42.23,40.71,41.23,1181076,ok
2020-09-04,41.43,42.36,41.25,41.53,903399,ok
2020-09-08,41.32,41.47,40.57,40.97,1712593,ok
2020-09-09,41.18,41.62,40.29,40.87,1550723,ok
2020-09-10,40.97,41.0,39.27,39.34,1750589,ok
2020-09-11,39.23,39.435,37.88,38.6,1300106,ok
2020-09-14,38.85,40.24,38.83,40.04,1772466,ok
2020-09-15,40.52,41.53,40.22,41.21,1529207,ok
2020-09-16,41.34,41.9,40.89,41.61,1603125,ok
2020-09-17,41.03,41.49,40.6,41.29,1400405,ok
2020-09-18,41.07,41.48,39.96,40.07,4732984,ok
2020-09-21,39.42,39.42,36.83,37.21,2275204,ok
2020-09-22,37.29,38.155,37.19,37.26,1804856,ok
2020-09-23,37.22,37.73,36.15,36.525,1056136,ok
2020-09-24,36.55,37.46,35.99,36.78,974296,ok
2020-09-25,36.59,37.57,36.42,37.42,844792,ok
2020-09-28,38.59,39.07,38.19,38.56,940900,ok
2020-09-29,38.25,38.6399,37.0,37.77,785755,ok
2020-09-30,38.14,38.78,37.575,38.02,1268900,ok
2020-10-01,38.05,39.41,38.05,39.4,1139513,ok
2020-10-02,38.57,40.38,38.22,40.2,1215806,ok
2020-10-05,40.62,40.8,39.455,40.11,882852,ok
2020-10-06,40.48,40.85,39.75,39.95,898581,ok
2020-10-07,40.24,40.34,39.165,39.43,679764,ok
2020-10-08,39.73,40.47,39.58,40.44,1953096,ok
2020-10-09,40.93,40.93,39.45,39.58,665742,ok
2020-10-12,39.52,40.01,39.0349,39.75,554999,ok
2020-10-13,39.26,39.52,37.94,38.24,890343,ok
2020-10-14,38.4,38.72,37.44,37.66,722396,ok
2020-10-15,37.36,38.69,37.28,38.54,675898,ok
2020-10-16,38.61,38.61,37.2,37.54,648676,ok
2020-10-19,37.8,37.8,36.92,37.0,830465,ok
2020-10-20,37.41,37.84,37.25,37.5,587211,ok
2020-10-21,37.31,37.42,36.77,37.14,520759,ok
2020-10-22,37.16,38.28,37.06,38.18,684921,ok
2020-10-23,38.47,38.92,37.82,38.29,731626,ok
2020-10-26,37.86,38.29,37.12,37.55,753920,ok
2020-10-27,37.34,37.79,36.22,36.22,715613,ok
2020-10-28,35.58,35.94,35.04,35.36,834438,ok
2020-10-29,35.04,36.02,34.57,35.46,1113021,ok
2020-10-30,35.49,35.88,34.62,35.59,826477,ok
2020-11-02,35.88,36.26,35.11,36.2,887084,ok
2020-11-03,36.88,37.72,36.37,37.43,1389337,ok
2020-11-04,37.72,37.72,35.85,35.9,1099668,ok
2020-11-05,36.2,36.76,35.75,36.18,898850,ok
2020-11-06,36.58,36.71,33.29,34.05,2641846,ok
2020-11-09,38.0,47.22,37.63,45.96,5281189,ok
2020-11-10,45.95,48.12,45.75,46.75,2789186,ok
2020-11-11,46.34,46.64,44.07,46.07,2857034,ok
2020-11-12,46.91,46.91,42.95,43.9,1851010,ok
2020-11-13,44.47,45.99,43.92,45.73,922515,ok
2020-11-16,47.83,49.52,46.62,49.01,1537826,ok
2020-11-17,48.15,48.89,47.18,48.27,779114,ok
2020-11-18,48.06,49.825,47.04,47.12,1453936,ok
2020-11-19,46.28,47.955,45.31,47.76,1030337,ok
2020-11-20,47.72,47.83,46.83,47.26,816386,ok
2020-11-23,47.78,49.58,47.25,48.46,1370645,ok
2020-11-24,49.33,50.65,48.7,48.79,1680407,ok
2020-11-25,48.3,48.3,47.0,47.59,1154599,ok
2020-11-27,47.37,47.86,46.68,46.89,369954,ok
2020-11-30,46.54,46.72,45.3,45.58,1689381,ok
2020-12-01,46.34,47.61,46.02,46.55,1463263,ok
2020-12-02,45.77,47.84,45.58,47.53,1233154,ok
2020-12-03,47.99,49.05,47.61,48.36,1126687,ok
2020-12-04,48.77,49.3799,48.71,49.08,932297,ok
2020-12-07,48.42,49.26,47.83,48.08,638037,ok
2020-12-08,47.38,48.63,47.38,47.73,844284,ok
2020-12-09,48.26,48.26,47.28,47.7,840803,ok
2020-12-10,47.43,47.98,47.19,47.61,950384,ok
2020-12-11,47.13,47.58,46.62,47.08,806552,ok
2020-12-14,47.74,48.22,46.59,46.88,856633,ok
2020-12-15,46.25,47.95,46.1,47.88,1234450,ok
2020-12-16,47.85,47.93,46.57,47.34,1204949,ok
2020-12-17,47.31,47.61,46.75,47.49,1261549,ok
2020-12-18,47.49,47.52,45.58,45.93,2603833,ok
2020-12-21,45.41,45.54,44.43,45.24,920139,ok
2020-12-22,45.59,45.7599,44.69,45.24,1167188,ok
2020-12-23,45.76,46.14,45.01,45.16,654387,ok
2020-12-24,45.58,45.68,44.82,45.41,261285,ok
2020-12-28,45.6,46.35,45.39,45.765,678839,ok
2020-12-29,46.08,46.72,44.92,45.31,744874,ok
2020-12-30,45.62,46.46,45.355,45.59,712835,ok
2020-12-31,45.73,45.73,44.82,45.59,868789,ok
2021-01-04,45.77,46.38,43.8967,44.27,1749412,ok
2021-01-05,44.92,45.32,44.13,44.3,1256421,ok
2021-01-06,44.97,46.18,44.94,45.6,1213784,ok
2021-01-07,45.22,45.72,44.77,45.01,1172554,ok
2021-01-08,45.09,45.51,44.75,45.49,1067067,ok
2021-01-11,44.77,45.08,43.49,44.02,1206413,ok
2021-01-12,43.95,44.79,43.9,44.75,747676,ok
2021-01-13,44.64,46.52,44.64,46.37,1309993,ok
2021-01-14,47.115,47.53,46.3,47.06,1060420,ok
2021-01-15,46.66,47.22,46.09,47.07,1591996,ok
2021-01-19,47.25,47.25,45.8,46.94,783603,ok
2021-01-20,47.1,48.67,46.24,48.17,944804,ok
2021-01-21,47.48,47.86,46.36,46.85,1016819,ok
2021-01-22,46.49,47.05,46.08,46.93,1331116,ok
2021-01-25,46.96,48.65,46.5,47.7,1723967,ok
2021-01-26,48.11,48.62,47.17,47.93,1005308,ok
2021-01-27,47.39,48.61,46.875,47.13,1379060,ok
2021-01-28,47.43,48.978,46.96,47.68,1387851,ok
2021-01-29,47.13,48.31,46.35,47.18,4012305,ok
2021-02-01,47.86,47.86,45.57,46.94,1265853,ok
2021-02-02,47.28,47.32,46.39,46.87,1005976,ok
2021-02-03,46.81,47.85,46.09,47.6,1221819,ok
2021-02-04,47.67,49.5,47.23,49.17,1320237,ok
2021-02-05,49.76,49.93,48.98,49.11,1231723,ok
2021-02-08,49.01,49.375,48.47,48.96,1106787,ok
2021-02-09,49.34,49.88,49.0,49.54,656161,ok
2021-02-10,49.68,50.98,49.6001,50.16,852571,ok
2021-02-11,50.59,51.34,49.92,51.25,1135272,ok
2021-02-12,50.79,52.73,50.53,52.62,1187497,ok
2021-02-16,52.63,53.345,51.96,52.23,1165111,ok
2021-02-17,51.99,53.25,51.94,53.21,865642,ok
2021-02-18,52.93,53.59,52.571,53.49,1079033,ok
2021-02-19,53.5,53.83,52.5999,52.8,1145141,ok
2021-02-22,53.06,54.7,52.695,53.81,1314652,ok
2021-02-23,54.49,55.38,53.9,55.22,803131,ok
2021-02-24,55.11,56.38,54.52,56.3,1000252,ok
2021-02-25,55.0,56.66,54.0,55.25,1378987,ok
2021-02-26,54.85,55.2,53.8025,54.78,1696742,ok
2021-03-01,55.56,56.53,55.29,55.29,1305377,ok
2021-03-02,55.17,55.17,53.83,54.155,1671150,ok
2021-03-03,53.97,57.15,53.78,56.66,1855574,ok
2021-03-04,56.18,57.16,55.28,56.28,1620218,ok
2021-03-05,56.84,57.985,55.35,57.68,1303675,ok
2021-03-08,58.24,59.73,57.38,59.18,846883,ok
2021-03-09,58.73,58.86,57.55,58.55,2006806,ok
2021-03-10,58.18,60.15,58.01,59.65,1955712,ok
2021-03-11,59.02,60.14,58.84,58.98,1749113,ok
2021-03-12,58.87,59.5,58.09,59.15,1014468,ok
2021-03-15,59.26,59.54,57.69,58.97,1051290,ok
2021-03-16,59.25,59.25,57.75,58.45,1398865,ok
2021-03-17,58.3,58.85,57.86,58.15,1269101,ok
2021-03-18,58.19,58.73,57.28,57.43,1328405,ok
2021-03-19,57.43,57.5,55.9,56.06,2288255,ok
2021-03-22,56.0,56.12,55.14,55.97,813840,ok
2021-03-23,55.94,56.02,54.63,54.85,757036,ok
2021-03-24,55.1,56.67,55.1,55.4,1023144,ok
2021-03-25,54.98,57.11,54.5,57.05,1405857,ok
2021-03-26,57.82,58.01,56.83,57.97,1033608,ok
2021-03-29,57.11,57.56,56.11,56.75,1055845,ok
2021-03-30,56.72,57.37,55.9999,57.07,1049081,ok
2021-03-31,56.58,57.2,56.19,56.71,1646040,ok
2021-04-01,56.93,57.66,56.51,57.62,959139,ok
2021-04-05,57.94,58.02,56.46,57.28,1620428,ok
2021-04-06,57.34,57.62,56.81,57.28,1533158,ok
2021-04-07,57.49,58.31,56.96,58.27,988755,ok
2021-04-08,57.96,58.3,57.57,58.02,881952,ok
2021-04-09,58.66,58.66,57.9275,58.36,1318969,ok
2021-04-12,58.43,58.66,57.44,58.35,951702,ok
2021-04-13,57.86,59.26,57.86,59.22,1304144,ok
2021-04-14,59.07,59.67,58.0,58.18,1145681,ok
2021-04-15,58.5,59.32,58.5,59.13,1257039,ok
2021-04-16,59.63,59.64,58.805,59.46,690315,ok
2021-04-19,59.5,59.86,58.73,59.76,886309,ok
2021-04-20,59.32,60.5,59.32,60.13,895858,ok
2021-04-21,60.09,61.78,59.8,61.73,1049224,ok
2021-04-22,61.69,62.96,61.36,61.72,1798852,ok
2021-04-23,61.95,62.285,61.265,62.12,812348,ok
2021-04-26,62.41,63.06,62.07,62.37,665681,ok
2021-04-27,62.4,63.3,62.1,62.97,663452,ok
2021-04-28,63.35,63.48,62.52,62.67,704589,ok
2021-04-29,63.3,64.19,63.09,63.63,568087,ok
2021-04-30,63.64,63.91,63.1,63.66,1062292,ok
2021-05-03,64.13,64.63,63.56,63.92,959282,ok
2021-05-04,64.02,64.75,63.16,63.43,993208,ok
2021-05-05,63.23,63.325,62.3,62.54,1259558,ok
2021-05-06,63.05,64.04,62.78,63.82,1393391,ok
2021-05-07,63.82,66.36,63.8,65.36,1317623,ok
2021-05-10,66.12,67.14,65.38,65.43,973874,ok
2021-05-11,64.86,65.25,63.95,64.52,1022572,ok
2021-05-12,64.37,64.63,62.45,62.62,1455134,ok
2021-05-13,62.52,63.47,62.21,63.04,1191033,ok
2021-05-14,63.36,64.01,63.18,63.77,731745,ok
2021-05-17,63.95,63.95,63.28,63.6,998194,ok
2021-05-18,63.52,64.345,63.13,63.63,804090,ok
2021-05-19,63.19,63.3,61.66,62.79,1117067,ok
2021-05-20,63.17,63.4,62.09,62.75,1587896,ok
2021-05-21,62.62,63.6,62.2,63.36,1064455,ok
2021-05-24,64.06,64.06,63.31,63.72,948806,ok
2021-05-25,63.75,64.32,63.26,63.31,867853,ok
2021-05-26,62.982,64.28,62.86,63.98,793175,ok
2021-05-27,64.39,64.71,63.89,64.12,3253765,ok
2021-05-28,64.71,64.94,64.12,64.6,874590,ok
2021-06-01,64.76,66.54,64.6,66.35,859598,ok
2021-06-02,66.67,67.535,66.035,67.44,914195,ok
2021-06-03,67.47,67.59,66.48,66.81,874137,ok
2021-06-04,66.81,66.84,65.66,65.79,963302,ok
2021-06-07,65.9,67.22,65.83,66.8,841512,ok
2021-06-08,66.82,67.97,66.82,67.6,1071646,ok
2021-06-09,67.64,67.99,67.31,67.54,902944,ok
2021-06-10,67.72,68.4,67.32,68.06,861965,ok
2021-06-11,68.34,68.34,67.27,68.2,938084,ok
2021-06-14,67.38,68.09,66.39,66.84,869162,ok
2021-06-15,66.61,66.95,65.98,66.32,776452,ok
2021-06-16,66.22,66.74,65.5,65.58,1413402,ok
2021-06-17,65.73,65.91,64.1,64.82,802267,ok
2021-06-18,64.12,65.31,63.09,63.33,2582567,ok
2021-06-21,63.87,65.67,63.73,65.45,1093352,ok
2021-06-22,65.34,65.42,64.58,64.6,713790,ok
2021-06-23,64.64,65.33,64.44,64.82,762557,ok
2021-06-24,64.77,65.04,64.25,64.56,717976,ok
2021-06-25,64.52,65.21,64.33,65.06,846515,ok
2021-06-28,65.1,65.27,63.67,64.23,604242,ok
2021-06-29,64.37,65.24,64.195,64.41,698837,ok
2021-06-30,64.59,64.8,63.86,64.07,955593,ok
2021-07-01,63.02,65.39,63.02,64.82,718447,ok
2021-07-02,64.86,65.29,64.18,64.51,559292,ok
2021-07-06,63.99,64.45,62.95,63.87,982739,ok
2021-07-07,63.8,63.8,62.69,63.26,754977,ok
2021-07-08,62.61,63.69,62.34,63.32,1027514,ok
2021-07-09,64.05,65.11,63.685,65.01,619779,ok
2021-07-12,64.65,66.29,64.49,66.19,746434,ok
2021-07-13,66.69,66.77,64.51,64.78,873979,ok
2021-07-14,64.8,65.635,64.405,65.34,745204,ok
2021-07-15,65.01,65.52,62.96,64.95,916174,ok
2021-07-16,65.06,65.85,64.31,64.7,1090924,ok
2021-07-19,63.73,63.73,61.48,61.9,690614,ok
2021-07-20,62.36,64.92,62.01,64.51,745454,ok
2021-07-21,64.98,66.45,64.77,65.93,1027874,ok
2021-07-22,65.63,65.63,64.145,64.42,391407,ok
2021-07-23,65.07,65.28,64.115,65.05,400876,ok
2021-07-26,65.1,65.8,64.23,64.87,502235,ok
2021-07-27,64.68,65.83,64.385,65.32,858468,ok
2021-07-28,65.46,65.69,64.15,64.61,401934,ok
2021-07-29,64.81,66.3,64.76,65.3,551893,ok
2021-07-30,65.09,66.38,65.09,65.41,1125664,ok
2021-08-02,65.99,67.13,64.51,64.57,711306,ok
2021-08-03,64.71,64.91,63.62,64.31,807809,ok
2021-08-04,63.93,64.41,62.98,63.03,701560,ok
2021-08-05,63.48,65.36,63.225,65.32,1171130,ok
2021-08-06,67.51,68.32,66.24,66.4,985042,ok
2021-08-09,65.66,66.35,65.155,65.39,606216,ok
2021-08-10,65.76,66.78,65.09,66.27,636872,ok
2021-08-11,66.64,66.9,65.805,66.76,495543,ok
2021-08-12,66.81,66.98,65.67,66.39,415745,ok
2021-08-13,66.67,66.94,65.83,66.22,619510,ok
2021-08-16,65.95,66.56,65.2,65.56,470515,ok
2021-08-17,65.22,65.22,63.54,64.57,435591,ok
2021-08-18,64.49,65.05,63.83,64.48,806791,ok
2021-08-19,64.14,64.84,63.505,64.4,557227,ok
2021-08-20,64.0,65.12,63.2,64.87,586753,ok
2021-08-23,65.42,65.51,64.75,65.05,476054,ok
2021-08-24,65.29,65.59,64.76,65.49,635342,ok
2021-08-25,65.67,67.32,65.16,67.1,886691,ok
2021-08-26,66.96,67.21,66.295,66.77,1024435,ok
2021-08-27,67.16,68.26,66.995,68.03,788975,ok
2021-08-30,68.29,68.33,67.36,68.2,1051423,ok
2021-08-31,68.29,69.08,68.105,68.62,1493910,ok
2021-09-01,68.86,69.24,68.37,69.0,992398,ok
2021-09-02,69.35,69.46,68.39,69.21,778539,ok
2021-09-03,69.21,69.47,68.5,69.34,868057,ok
2021-09-07,69.52,69.52,68.15,69.04,916491,ok
2021-09-08,68.87,69.5,68.02,69.04,683871,ok
2021-09-09,68.91,69.01,68.165,68.4,1010469,ok
2021-09-10,68.65,68.65,66.2,66.24,1382731,ok
2021-09-13,66.61,68.71,66.58,68.06,602034,ok
2021-09-14,67.9,68.14,66.94,67.51,704914,ok
2021-09-15,67.78,68.86,67.47,68.75,1102238,ok
2021-09-16,68.67,69.6,68.13,69.26,804778,ok
2021-09-17,69.01,69.5,67.88,68.31,2377973,ok
2021-09-20,67.29,68.0,66.3,67.58,991437,ok
2021-09-21,68.02,68.5,67.12,67.18,729456,ok
2021-09-22,67.81,68.465,67.27,68.09,730010,ok
2021-09-23,68.33,68.96,67.88,68.28,574871,ok
2021-09-24,67.96,68.65,67.9,68.3,585779,ok
2021-09-27,68.55,69.605,68.17,68.43,721263,ok
2021-09-28,68.32,68.7,67.62,68.16,898468,ok
2021-09-29,68.45,68.94,68.17,68.65,712311,ok
2021-09-30,68.96,68.96,66.85,67.33,2007766,ok
2021-10-01,67.7,69.67,67.57,69.28,1108626,ok
2021-10-04,69.22,70.06,68.23,69.44,1159754,ok
2021-10-05,69.56,69.75,68.43,68.66,936099,ok
2021-10-06,68.18,69.26,67.305,69.22,1097631,ok
2021-10-07,69.91,70.5595,69.53,69.94,837139,ok
2021-10-08,69.78,70.315,69.32,69.43,535882,ok
2021-10-11,69.68,69.84,68.78,69.73,578990,ok
2021-10-12,69.13,70.1,69.13,69.71,1017127,ok
2021-10-13,69.51,70.01,69.17,69.93,739937,ok
2021-10-14,70.47,70.59,69.92,70.14,749989,ok
2021-10-15,70.58,71.33,70.44,70.66,766636,ok
2021-10-18,70.1,71.27,70.1,71.06,399989,ok
2021-10-19,71.26,71.26,69.37,69.51,578799,ok
2021-10-20,69.4,71.22,69.115,71.15,722844,ok
2021-10-21,70.95,71.15,69.85,70.01,519663,ok
2021-10-22,70.19,70.545,69.71,70.02,389168,ok
2021-10-25,70.02,70.69,69.7201,70.4,483172,ok
2021-10-26,70.67,71.61,70.35,71.45,984781,ok
2021-10-27,71.07,71.29,70.06,71.04,1024797,ok
2021-10-28,70.75,70.95,69.57,70.88,757132,ok
2021-10-29,70.71,71.06,69.93,70.41,1658136,ok
2021-11-01,70.41,71.57,69.59,71.32,623735,ok
2021-11-02,72.06,72.64,71.64,72.28,716597,ok
2021-11-03,72.29,74.76,72.29,74.38,891379,ok
2021-11-04,74.71,75.14,73.6,74.01,679555,ok
2021-11-05,75.24,78.065,75.0,75.95,784509,ok
2021-11-08,75.86,76.18,73.06,73.46,690432,ok
2021-11-09,73.41,73.94,73.08,73.7,565009,ok
2021-11-10,73.64,74.62,73.61,74.36,789497,ok
2021-11-11,74.36,75.23,73.69,75.16,460253,ok
2021-11-12,75.16,75.365,74.33,74.65,768213,ok
