Date,Open,High,Low,Close,Volume,Status
2020-07-30,15.5,17.5,15.1,16.46,64611284,ok
2020-07-31,16.67,17.17,15.99,16.0,19532763,ok
2020-08-03,16.26,17.0,15.77,16.36,11739959,ok
2020-08-04,16.55,16.84,15.95,16.69,7781785,ok
2020-08-05,16.649,17.0,16.4,16.75,3995389,ok
2020-08-06,16.8,19.9,16.63,18.5,14142895,ok
2020-08-07,17.75,19.33,16.6,16.89,7459711,ok
2020-08-10,17.6,17.76,16.12,16.42,7914378,ok
2020-08-11,16.93,17.03,15.83,16.0,7337667,ok
2020-08-12,16.36,16.36,15.135,15.66,5613722,ok
2020-08-13,15.7,15.7,15.0,15.16,5384590,ok
2020-08-14,15.35,15.36,14.31,14.6,5070172,ok
2020-08-17,14.76,15.6,14.6,15.42,5296493,ok
2020-08-18,15.3635,16.75,15.36,15.96,7163131,ok
2020-08-19,15.98,16.07,15.01,15.04,3287958,ok
2020-08-20,15.06,15.3,14.61,14.75,3138912,ok
2020-08-21,14.94,15.5,14.76,15.02,4223631,ok
2020-08-24,16.3,17.2,15.88,17.09,19359061,ok
2020-08-25,17.7965,18.84,17.68,18.23,22093860,ok
2020-08-26,18.99,24.48,18.99,23.38,31561325,ok
2020-08-27,22.26,22.31,19.3,19.38,29318166,ok
2020-08-28,20.21,20.5,17.6,17.6,14725064,ok
2020-08-31,17.7588,18.84,16.2003,16.3,18322674,ok
2020-09-01,17.08,18.46,16.7,18.29,18141274,ok
2020-09-02,19.38,19.68,17.2,17.87,18415021,ok
2020-09-03,17.1735,17.6,16.26,16.91,10210091,ok
2020-09-04,17.08,17.9,16.04,16.83,11650633,ok
2020-09-08,16.0,16.35,15.24,15.79,11067557,ok
2020-09-09,16.41,16.95,15.79,15.8,9115553,ok
2020-09-10,16.17,16.73,15.86,16.05,5893439,ok
2020-09-11,16.19,16.7,16.05,16.21,3914977,ok
2020-09-14,16.6,17.7095,16.3108,17.47,6429228,ok
2020-09-15,17.66,18.75,17.65,18.19,9376664,ok
2020-09-16,18.2,18.43,17.421,17.52,5740403,ok
2020-09-17,16.74,17.65,16.7,17.26,3141267,ok
2020-09-18,17.57,17.68,16.57,17.03,3817518,ok
2020-09-21,16.5,16.87,16.0,16.43,4288708,ok
2020-09-22,16.56,17.18,16.42,16.74,3043372,ok
2020-09-23,16.75,16.75,15.61,15.68,6601983,ok
2020-09-24,15.5,15.97,15.02,15.09,6846843,ok
2020-09-25,15.35,16.07,15.23,15.8,3636752,ok
2020-09-28,16.19,16.21,15.74,16.08,4720498,ok
2020-09-29,16.08,17.16,16.0,17.03,6058037,ok
2020-09-30,17.62,18.24,17.09,17.39,7620331,ok
2020-10-01,17.76,17.78,16.55,16.8,5425567,ok
2020-10-02,16.25,18.0,16.2,16.92,8396728,ok
2020-10-05,17.42,18.13,17.15,17.52,8143927,ok
2020-10-06,17.72,18.23,17.25,17.35,5659319,ok
2020-10-07,17.6,18.08,17.41,17.77,3100653,ok
2020-10-08,17.98,18.28,17.72,17.93,3228531,ok
2020-10-09,18.03,18.36,17.5,17.6,3833050,ok
2020-10-12,18.06,19.34,17.61,19.16,13995316,ok
2020-10-13,18.81,19.73,18.53,19.43,7894145,ok
2020-10-14,20.1665,21.86,20.06,20.78,16805280,ok
2020-10-15,20.35,21.47,19.7801,20.5,11747610,ok
2020-10-16,20.85,21.12,19.61,19.77,7455969,ok
2020-10-19,20.34,20.37,18.91,19.18,6444710,ok
2020-10-20,19.21,20.78,19.0,20.49,7623901,ok
2020-10-21,20.3,21.1,19.36,19.39,8402525,ok
2020-10-22,20.0,20.1,18.72,18.98,6343354,ok
2020-10-23,18.9,18.99,18.31,18.4,3624299,ok
2020-10-26,18.3,19.26,18.3,19.08,5672307,ok
2020-10-27,18.96,19.61,18.62,19.21,4301795,ok
2020-10-28,18.68,19.1,17.92,18.69,6231178,ok
2020-10-29,19.31,21.4,19.175,20.62,14660566,ok
2020-10-30,20.49,21.72,20.07,20.17,11956841,ok
2020-11-02,21.76,23.3,21.36,22.88,24942068,ok
2020-11-03,23.4,24.17,22.05,24.05,15563073,ok
2020-11-04,25.69,27.67,24.06,25.31,28970571,ok
2020-11-05,26.96,28.49,26.0,28.09,32302825,ok
2020-11-06,27.59,28.32,25.2975,26.46,32691693,ok
2020-11-09,26.37,26.52,25.29,26.3,14752053,ok
2020-11-10,25.8,26.48,23.18,25.24,16859952,ok
2020-11-11,24.07,25.27,23.06,24.97,11897485,ok
2020-11-12,27.055,32.78,26.4,31.78,86207892,ok
2020-11-13,38.76,40.8055,30.11,31.2,170277645,ok
2020-11-16,31.33,36.97,30.97,35.55,85858046,ok
2020-11-17,37.78,38.0,34.45,35.05,45851930,ok
2020-11-18,35.07,36.65,33.5,35.49,28208904,ok
2020-11-19,35.6,37.3,34.81,36.74,27079782,ok
2020-11-20,37.03,39.865,36.3,38.12,41860995,ok
2020-11-23,41.48,44.18,40.86,43.64,63691481,ok
2020-11-24,47.58,47.7,41.5,43.96,64681261,ok
2020-11-25,39.46,41.83,38.75,40.72,40985350,ok
2020-11-27,40.28,42.15,38.28,39.48,26503605,ok
2020-11-30,38.53,38.65,35.0,35.99,29779766,ok
2020-12-01,39.19,39.35,34.23,34.86,42380136,ok
2020-12-02,31.98,35.7,30.95,34.75,43741944,ok
2020-12-03,35.53,36.58,32.18,32.31,32565118,ok
2020-12-04,30.76,32.12,30.44,30.53,51988652,ok
2020-12-07,30.16,32.77,29.6,31.49,34831146,ok
2020-12-08,33.77,34.74,32.82,33.31,33169837,ok
2020-12-09,34.0,34.6,31.25,32.03,23729296,ok
2020-12-10,31.46,33.5,30.9,32.49,16466330,ok
2020-12-11,32.2,32.99,31.06,31.36,13625569,ok
2020-12-14,31.74,32.1,30.42,31.33,15046935,ok
2020-12-15,31.86,33.1,31.25,32.15,17955442,ok
2020-12-16,32.46,32.4832,31.01,31.36,11688264,ok
2020-12-17,31.47,31.695,30.23,30.69,15188187,ok
2020-12-18,31.01,32.25,30.72,31.77,22147151,ok
2020-12-21,31.1635,33.7,31.11,32.86,20322562,ok
2020-12-22,33.48,33.58,30.63,31.29,17058514,ok
2020-12-23,31.29,31.43,29.4,30.56,14670142,ok
2020-12-24,30.29,30.38,29.14,29.32,13413739,ok
2020-12-28,29.7462,29.789,26.88,27.01,22950626,ok
2020-12-29,27.31,29.0,26.52,28.67,18393968,ok
2020-12-30,29.27,29.44,28.5211,29.06,17018317,ok
2020-12-31,29.36,30.15,28.76,28.83,15562038,ok
2021-01-04,30.34,33.0,29.61,32.46,46632683,ok
2021-01-05,32.4,33.19,30.45,30.99,24021992,ok
2021-01-06,31.2,33.5,30.795,31.76,29997289,ok
2021-01-07,32.975,35.26,32.85,35.09,26228601,ok
2021-01-08,37.1,37.19,33.1895,34.3,30247812,ok
2021-01-11,34.37,35.04,32.3256,32.79,24666251,ok
2021-01-12,32.38,37.18,32.34,36.75,34306694,ok
2021-01-13,36.04,36.69,34.54,35.55,18763136,ok
2021-01-14,35.37,36.25,34.52,34.7,14694493,ok
