Date,Open,High,Low,Close,Volume,Status
2020-01-02,150.97,153.44,150.4748,151.98,1109359,ok
2020-01-03,148.61,152.5,148.4,152.06,895099,ok
2020-01-06,149.8,154.62,148.13,154.46,1569044,ok
2020-01-07,154.76,155.72,153.14,153.41,1933883,ok
2020-01-08,153.64,156.75,152.75,155.76,1871610,ok
2020-01-09,157.2,157.655,153.59,154.52,1385330,ok
2020-01-10,156.84,156.84,153.97,155.78,978621,ok
2020-01-13,157.0,157.7165,155.92,156.46,1227881,ok
2020-01-14,155.71,158.7,155.37,157.04,1461895,ok
2020-01-15,157.57,158.37,155.53,156.02,1471048,ok
2020-01-16,157.71,160.43,156.74,160.32,1527658,ok
2020-01-17,161.49,161.49,156.0,157.96,1641091,ok
2020-01-21,157.83,159.25,156.74,157.1,1053129,ok
2020-01-22,158.24,159.235,156.1801,156.53,1084475,ok
2020-01-23,156.55,158.42,155.0,157.84,1491879,ok
2020-01-24,159.41,160.98,156.41,157.0,910545,ok
2020-01-27,153.53,154.99,151.04,153.59,1370710,ok
2020-01-28,153.85,156.46,153.09,155.575,1350809,ok
2020-01-29,156.79,156.79,154.646,155.62,968440,ok
2020-01-30,155.11,158.9819,155.0,158.69,1382552,ok
2020-01-31,158.67,159.55,154.4,155.26,1169096,ok
2020-02-03,156.11,160.33,155.2,159.88,1302621,ok
2020-02-04,162.01,168.42,161.3316,167.81,1892597,ok
2020-02-05,170.51,170.74,163.07,163.88,2459357,ok
2020-02-06,164.6,164.95,161.2,162.67,1125356,ok
2020-02-07,162.33,165.44,160.69,162.55,971655,ok
2020-02-10,162.74,167.76,162.17,167.16,1140278,ok
2020-02-11,169.48,171.17,166.4,168.1,1610461,ok
2020-02-12,169.8,170.42,165.41,169.84,1237376,ok
2020-02-13,168.73,172.245,168.54,170.93,1048693,ok
2020-02-14,171.4,173.84,170.96,172.52,961662,ok
2020-02-18,172.41,174.075,170.52,172.88,866705,ok
2020-02-19,174.19,176.31,173.66,174.17,1053007,ok
2020-02-20,173.96,175.26,168.12,173.41,1468086,ok
2020-02-21,171.92,172.0,164.12,167.07,1757472,ok
2020-02-24,158.61,162.23,154.25,160.05,2030232,ok
2020-02-25,164.21,164.24,154.61,155.62,3394209,ok
2020-02-26,155.66,161.32,155.12,156.51,1570976,ok
2020-02-27,151.79,153.97,146.79,146.87,2795032,ok
2020-02-28,143.11,148.56,141.75,147.33,2953324,ok
2020-03-02,151.05,152.2,145.945,152.02,2175598,ok
2020-03-03,152.12,156.51,144.84,148.5,3010159,ok
2020-03-04,151.53,155.5,148.63,155.4,3819915,ok
2020-03-05,149.01,151.41,138.86,141.25,8816027,ok
2020-03-06,136.0,140.4818,134.06,138.94,4319776,ok
2020-03-09,129.26,132.8,125.31,128.24,3296926,ok
2020-03-10,132.27,134.395,127.1,132.28,2945437,ok
2020-03-11,128.0,128.44,118.2,120.74,3370417,ok
2020-03-12,109.71,113.48,105.0,105.01,3920680,ok
2020-03-13,113.69,118.66,108.0,115.19,3129713,ok
2020-03-16,98.03,107.49,93.92,95.71,3050969,ok
2020-03-17,98.0,112.04,95.0,109.39,3506337,ok
2020-03-18,101.63,107.55,96.22,105.37,2307969,ok
2020-03-19,105.0,113.42,98.22,107.52,2399004,ok
2020-03-20,108.78,120.93,108.0,110.3,3451270,ok
2020-03-23,112.0,116.76,105.39,113.44,1968014,ok
2020-03-24,121.5265,125.37,118.5,121.1,2298579,ok
2020-03-25,122.33,128.87,119.67,122.04,1872284,ok
2020-03-26,122.91,132.0,122.5101,129.14,2062508,ok
2020-03-27,122.91,126.95,122.16,124.76,1583813,ok
2020-03-30,125.68,128.9,124.52,127.22,1945197,ok
2020-03-31,126.13,129.63,123.52,126.23,2470916,ok
2020-04-01,120.44,120.7588,108.88,109.69,2913654,ok
2020-04-02,109.01,110.99,103.01,105.28,2555591,ok
2020-04-03,104.09,106.85,101.1,102.14,1724201,ok
2020-04-06,107.55,119.78,105.11,118.4,3459172,ok
2020-04-07,123.01,124.0,118.62,120.22,2810802,ok
2020-04-08,121.28,125.45,120.84,125.05,1277430,ok
2020-04-09,125.99,128.4,120.58,123.13,2298725,ok
2020-04-13,123.62,126.67,122.815,125.88,937642,ok
2020-04-14,129.75,134.34,129.01,132.92,1907031,ok
2020-04-15,132.02,132.945,129.31,130.54,1671657,ok
2020-04-16,132.97,136.1086,131.12,131.575,1587553,ok
2020-04-17,137.24,137.4,133.67,135.15,1291744,ok
2020-04-20,134.12,136.91,133.011,133.38,1760623,ok
2020-04-21,132.19,132.32,123.51,127.18,1640184,ok
2020-04-22,131.61,132.15,128.18,131.28,1014412,ok
2020-04-23,130.96,134.28,130.31,131.69,862202,ok
2020-04-24,128.39,130.29,125.0,128.63,1815416,ok
2020-04-27,131.65,132.75,129.42,132.61,898654,ok
2020-04-28,134.86,135.55,128.31,130.09,904762,ok
2020-04-29,133.27,142.16,131.91,140.84,2210198,ok
2020-04-30,140.93,144.49,139.66,140.36,1794143,ok
2020-05-01,136.99,137.995,131.375,134.05,1298092,ok
2020-05-04,132.45,134.96,131.34,134.92,910267,ok
2020-05-05,140.86,146.46,140.7,143.615,1860164,ok
2020-05-06,144.16,148.14,143.265,145.17,1221950,ok
2020-05-07,147.56,152.08,146.7002,150.63,1737832,ok
2020-05-08,153.38,153.95,149.51,153.24,1786219,ok
2020-05-11,154.0,161.23,153.42,158.71,1985583,ok
2020-05-12,160.0,161.8,155.89,156.36,1577105,ok
2020-05-13,155.32,156.9299,145.93,149.09,2308034,ok
2020-05-14,147.36,151.54,143.3,151.54,1601843,ok
2020-05-15,151.0,157.75,150.255,156.19,1266070,ok
2020-05-18,159.68,161.54,154.58,155.01,1367520,ok
2020-05-19,157.6,162.125,157.04,159.06,1328497,ok
2020-05-20,161.77,163.9449,160.5028,163.28,1332546,ok
2020-05-21,163.28,167.3,163.02,163.45,3259569,ok
2020-05-22,171.83,185.26,170.0,184.26,8835882,ok
2020-05-26,184.89,186.47,177.18,181.15,3828665,ok
2020-05-27,180.29,182.0,171.16,181.62,3311935,ok
2020-05-28,178.41,186.15,178.0,180.0,1810650,ok
2020-05-29,180.31,187.1094,180.06,185.84,2379253,ok
2020-06-01,184.53,188.76,182.4501,186.56,1518257,ok
2020-06-02,189.2,192.2166,185.17,188.54,3437930,ok
2020-06-03,190.44,192.75,187.08,188.98,3989251,ok
2020-06-04,184.25,188.17,180.52,181.58,2051710,ok
2020-06-05,179.09,184.93,175.24,183.12,1602124,ok
2020-06-08,182.32,187.73,181.03,186.31,1620803,ok
2020-06-09,186.0,187.08,183.45,183.93,1007379,ok
2020-06-10,186.43,188.3,184.28,187.22,1190252,ok
2020-06-11,183.0,183.345,173.5,173.74,2564937,ok
2020-06-12,179.61,181.28,174.785,178.88,1546248,ok
2020-06-15,172.85,181.8401,171.28,181.5,1668737,ok
2020-06-16,184.28,185.41,180.2,184.15,1615171,ok
2020-06-17,183.41,187.5,183.16,183.79,1131308,ok
2020-06-18,184.5,186.98,183.64,186.2,1029632,ok
2020-06-19,188.0,189.935,185.25,187.16,1936491,ok
2020-06-22,191.0,196.32,190.23,193.09,2244478,ok
2020-06-23,195.21,197.22,192.155,193.08,1570293,ok
2020-06-24,193.04,195.336,188.33,190.61,1774358,ok
2020-06-25,191.81,194.16,189.0,193.04,821057,ok
2020-06-26,193.66,197.7,190.17,196.8,3419879,ok
2020-06-29,198.96,198.96,190.99,194.5,1777592,ok
2020-06-30,194.92,199.32,194.1864,198.7,2095740,ok
2020-07-01,195.58,204.95,195.5,203.61,2091102,ok
2020-07-02,203.97,204.5,199.085,199.91,2053127,ok
2020-07-06,202.99,204.0,196.55,198.66,2824480,ok
2020-07-07,199.5,201.16,196.52,196.68,2102104,ok
2020-07-08,198.65,205.28,197.3,205.16,2293519,ok
2020-07-09,205.64,208.9,201.88,204.85,1772143,ok
2020-07-10,209.04,213.26,204.85,211.32,2647531,ok
2020-07-13,212.13,212.8,197.28,198.0,2249950,ok
2020-07-14,198.37,200.9,190.4801,199.78,1957701,ok
2020-07-15,200.39,201.97,196.23,200.56,1099509,ok
2020-07-16,197.84,199.875,195.33,199.02,1063611,ok
2020-07-17,198.9,201.5015,197.41,199.97,946628,ok
2020-07-20,201.75,208.88,201.35,207.67,1090217,ok
2020-07-21,208.99,209.0,202.92,203.95,914005,ok
2020-07-22,205.0,207.2,202.63,204.51,767544,ok
2020-07-23,204.64,208.72,199.66,201.93,1110435,ok
2020-07-24,199.89,202.05,197.0,199.57,790535,ok
2020-07-27,201.02,204.51,199.15,203.15,679778,ok
2020-07-28,204.16,208.645,203.25,205.3,1064453,ok
2020-07-29,207.48,210.49,206.54,208.33,985818,ok
2020-07-30,205.0,210.005,204.17,209.39,859284,ok
2020-07-31,211.78,212.0,205.0,209.82,1017623,ok
2020-08-03,211.99,214.9,210.805,214.42,1037217,ok
2020-08-04,214.42,215.0,208.0,210.89,958539,ok
2020-08-05,212.6,217.36,211.665,217.3,1185130,ok
2020-08-06,216.35,216.98,211.2213,213.66,1112879,ok
2020-08-07,212.85,212.97,198.14,200.38,2191823,ok
2020-08-10,200.1,200.914,193.89,197.9,1675602,ok
2020-08-11,198.82,200.175,193.02,195.64,1630287,ok
2020-08-12,196.17,197.97,189.1,190.4,2601648,ok
2020-08-13,191.87,196.5,190.4,193.37,2447332,ok
2020-08-14,193.87,194.4999,190.76,192.34,1351950,ok
2020-08-17,193.0,195.61,192.55,195.0,1725536,ok
2020-08-18,196.0,198.98,194.83,197.65,1145773,ok
2020-08-19,198.03,199.744,195.04,195.46,1200975,ok
2020-08-20,195.0,201.86,194.52,200.17,1183113,ok
2020-08-21,202.5,204.78,201.12,202.35,1171565,ok
2020-08-24,204.66,207.32,201.37,202.23,1219357,ok
2020-08-25,202.31,204.42,200.67,203.62,1220327,ok
2020-08-26,210.0,220.56,209.15,216.74,4880531,ok
2020-08-27,213.93,217.97,204.02,215.39,5162256,ok
2020-08-28,217.99,223.33,217.01,220.42,1994414,ok
2020-08-31,220.0,220.16,215.77,219.33,2032975,ok
2020-09-01,221.3748,224.95,218.92,223.59,1521579,ok
2020-09-02,225.04,225.8944,217.2401,221.79,1334242,ok
2020-09-03,216.2135,217.18,205.35,206.72,2156295,ok
2020-09-04,205.35,206.46,191.27,200.14,2169129,ok
2020-09-08,191.5721,198.55,191.11,191.89,1698818,ok
2020-09-09,196.52,197.85,191.64,196.55,1277198,ok
2020-09-10,198.12,201.67,191.4,192.83,1042283,ok
2020-09-11,194.23,195.95,182.89,186.93,1957712,ok
2020-09-14,188.87,189.82,182.82,183.67,2575617,ok
2020-09-15,186.5,187.48,183.91,185.35,1322458,ok
2020-09-16,187.33,187.53,181.07,182.55,1391779,ok
2020-09-17,176.19,179.56,173.105,177.68,2121014,ok
2020-09-18,178.85,180.1625,171.27,174.89,2886479,ok
