Date,Open,High,Low,Close,Volume,Status
2020-01-02,70.18,71.44,69.59,71.44,1410679,ok
2020-01-03,70.54,70.99,70.055,70.42,1317580,ok
2020-01-06,69.98,70.9706,69.65,70.85,1545015,ok
2020-01-07,70.46,71.28,69.94,71.07,1664687,ok
2020-01-08,71.28,72.76,70.96,72.28,1763077,ok
2020-01-09,72.82,73.69,72.56,73.36,1514381,ok
2020-01-10,73.4,73.58,72.665,73.03,949972,ok
2020-01-13,73.53,73.95,72.95,73.39,1156423,ok
2020-01-14,73.4,73.47,72.41,72.605,1023815,ok
2020-01-15,72.65,73.1,71.66,71.94,1333647,ok
2020-01-16,72.33,73.07,72.03,73.06,1242118,ok
2020-01-17,73.38,73.835,72.65,73.73,1893491,ok
2020-01-21,73.41,74.87,73.23,74.6,1630817,ok
2020-01-22,75.0,75.36,74.51,74.8,1156576,ok
2020-01-23,74.92,75.55,74.2,75.42,994593,ok
2020-01-24,75.94,76.31,74.07,74.58,957074,ok
2020-01-27,72.49,73.28,71.76,72.62,1259934,ok
2020-01-28,73.09,74.51,72.88,74.18,1298063,ok
2020-01-29,74.5,74.645,73.045,73.14,1241457,ok
2020-01-30,72.46,73.21,72.1,73.16,1033191,ok
2020-01-31,72.86,73.05,71.36,72.11,2452577,ok
2020-02-03,72.49,73.24,72.46,72.83,1405907,ok
2020-02-04,73.96,74.78,73.68,74.42,1371951,ok
2020-02-05,75.39,75.39,73.845,74.32,1666772,ok
2020-02-06,74.91,75.36,74.38,74.54,911612,ok
2020-02-07,74.02,74.4,73.51,73.55,1157696,ok
2020-02-10,73.35,74.66,72.98,74.63,1302935,ok
2020-02-11,75.04,75.88,74.68,75.71,1419563,ok
2020-02-12,76.0,77.22,75.83,77.1,1932799,ok
2020-02-13,77.0,79.59,75.27,79.25,3253163,ok
2020-02-14,79.56,79.685,78.3616,78.76,1329662,ok
2020-02-18,78.18,79.0,78.05,78.58,1539986,ok
2020-02-19,79.0,80.4,78.88,80.02,2212033,ok
2020-02-20,79.46,79.46,76.045,76.97,2394522,ok
2020-02-21,75.96,76.58,74.18,74.73,1550286,ok
2020-02-24,71.95,73.27,70.87,71.39,2361985,ok
2020-02-25,71.9,72.27,68.18,68.45,2648279,ok
2020-02-26,69.1,70.055,68.18,68.88,2477323,ok
2020-02-27,66.75,68.56,65.655,65.84,2678906,ok
2020-02-28,63.51,66.31,63.24,66.14,4698593,ok
2020-03-02,66.66,68.38,65.01,68.36,2711129,ok
2020-03-03,67.87,68.81,65.47,66.23,3162806,ok
2020-03-04,67.64,70.39,67.23,70.27,2364362,ok
2020-03-05,67.79,69.62,66.825,67.84,2163703,ok
2020-03-06,64.7,65.82,62.98,64.73,3361030,ok
2020-03-09,61.68,64.17,58.05,59.75,2793602,ok
2020-03-10,61.28,62.92,59.855,62.92,2809853,ok
2020-03-11,61.3,62.71,60.38,62.23,2918503,ok
2020-03-12,58.06,62.64,56.82,56.94,4756622,ok
2020-03-13,59.28,62.47,55.5,62.47,3988535,ok
2020-03-16,55.76,57.98,54.1,54.6,3071610,ok
2020-03-17,55.88,59.105,53.39,58.94,2719479,ok
2020-03-18,55.0,55.715,51.39,54.32,3137559,ok
2020-03-19,53.74,57.61,52.1501,55.72,2584943,ok
2020-03-20,56.9,58.56,54.57,55.08,3393464,ok
2020-03-23,55.0,57.88,53.16,55.86,2954056,ok
2020-03-24,58.93,63.95,58.21,63.34,4180242,ok
2020-03-25,63.06,64.5997,60.93,61.35,3940095,ok
2020-03-26,61.91,67.12,61.39,66.94,2781505,ok
2020-03-27,64.46,65.55,61.73,62.28,2228379,ok
2020-03-30,62.68,67.38,62.38,66.91,2514340,ok
2020-03-31,66.11,67.47,65.34,66.04,3451353,ok
2020-04-01,63.43,66.51,62.9188,65.24,2824123,ok
2020-04-02,64.24,67.07,63.9215,65.93,2959094,ok
2020-04-03,65.05,66.72,63.74,63.93,2554884,ok
