Date,Open,High,Low,Close,Volume,Status
2020-01-02,88.39,88.44,86.96,87.31,2447454,ok
2020-01-03,86.07,87.64,85.91,87.18,1713597,ok
2020-01-06,86.47,87.92,86.25,87.91,2270193,ok
2020-01-07,87.79,89.21,87.46,88.41,2043418,ok
2020-01-08,88.21,89.37,87.8603,88.65,2047041,ok
2020-01-09,89.43,89.49,88.43,89.37,2225731,ok
2020-01-10,89.58,90.74,89.34,90.65,2452157,ok
2020-01-13,90.64,91.28,90.36,91.26,2138078,ok
2020-01-14,90.98,91.83,90.26,90.47,1994311,ok
2020-01-15,87.6,89.87,87.29,88.92,3783447,ok
2020-01-16,89.53,89.81,88.55,88.95,2007216,ok
2020-01-17,89.45,90.325,88.35,89.94,3406560,ok
2020-01-21,89.45,91.7,89.41,90.24,3611203,ok
2020-01-22,90.93,91.17,88.96,89.27,2003301,ok
2020-01-23,88.86,90.31,88.3568,89.82,1619995,ok
2020-01-24,90.27,90.27,88.77,89.44,1209634,ok
2020-01-27,87.79,88.83,87.35,87.8,1718329,ok
2020-01-28,88.4,89.3,87.82,88.89,1458104,ok
2020-01-29,89.38,90.1,88.1,88.12,2623456,ok
2020-01-30,87.05,87.59,85.905,87.1,2048884,ok
2020-01-31,86.69,86.96,84.53,84.69,2841993,ok
2020-02-03,85.39,86.37,84.91,85.26,2170376,ok
2020-02-04,86.53,87.24,86.44,86.69,1795827,ok
2020-02-05,87.68,89.88,87.36,89.5,2315840,ok
2020-02-06,90.03,90.578,88.54,88.64,2018246,ok
2020-02-07,88.25,88.77,86.48,87.02,1987126,ok
2020-02-10,86.89,88.73,86.865,88.7,2311633,ok
2020-02-11,89.38,90.07,88.72,89.89,1799464,ok
2020-02-12,90.28,91.2,90.01,90.93,1578106,ok
2020-02-13,90.48,91.31,90.2,90.4,1725449,ok
2020-02-14,91.0,91.145,89.86,90.21,1221227,ok
2020-02-18,89.51,90.76,89.2,90.16,1544620,ok
2020-02-19,90.53,91.23,90.2,90.94,1422912,ok
2020-02-20,91.08,91.99,90.57,91.93,2212336,ok
2020-02-21,91.34,91.62,89.62,90.26,1877756,ok
