Date,Open,High,Low,Close,Volume,Status
2020-12-09,463.8,465.96,450.52,452.89,868920,ok
2020-12-10,451.14,458.88,449.12,457.8,539329,ok
2020-12-11,453.81,457.15,451.84,452.63,512090,ok
2020-12-14,452.34,456.82,452.17,452.99,545629,ok
2020-12-15,464.51,469.62,461.885,469.3,638540,ok
2020-12-16,467.99,472.24,465.01,471.53,524662,ok
2020-12-17,478.73,481.32,476.01,477.3,477326,ok
2020-12-18,478.49,479.45,474.32,477.24,730750,ok
2020-12-21,460.26,472.28,459.48,472.26,622791,ok
2020-12-22,473.48,478.62,472.95,476.18,431436,ok
2020-12-23,478.94,480.39,474.2,474.62,389206,ok
2020-12-24,478.9454,484.6,477.08,483.09,271917,ok
2020-12-28,487.14,488.72,478.4296,480.24,449349,ok
2020-12-29,489.45,489.45,482.51,484.01,377154,ok
2020-12-30,488.13,492.66,488.0,489.91,381913,ok
2020-12-31,490.0,490.52,483.445,487.72,312790,ok
2021-01-04,499.99,504.75,490.71,500.0,1527642,ok
2021-01-05,494.16,505.36,493.89,505.36,1029887,ok
2021-01-06,491.85,499.8449,489.74,490.22,978008,ok
2021-01-07,495.97,503.22,495.52,501.43,936230,ok
2021-01-08,512.59,514.28,501.71,508.74,734573,ok
2021-01-11,500.5,508.905,499.43,507.95,703828,ok
2021-01-12,507.1,514.79,503.5,513.93,651789,ok
2021-01-13,511.21,515.605,509.38,514.06,513719,ok
2021-01-14,530.16,546.3999,529.89,544.65,1450578,ok
2021-01-15,532.31,536.85,525.36,527.5,869257,ok
2021-01-19,533.0,550.48,530.6101,549.5,1504001,ok
2021-01-20,555.57,558.16,543.16,549.38,1122141,ok
2021-01-21,568.0,573.7987,565.605,570.74,1273229,ok
2021-01-22,563.49,570.7129,562.79,569.45,901640,ok
2021-01-25,562.15,568.2175,554.12,567.61,966663,ok
2021-01-26,563.18,563.65,548.44,549.0,887698,ok
2021-01-27,534.97,539.5187,522.5,524.63,1506824,ok
2021-01-28,542.11,553.84,537.38,547.22,968890,ok
2021-01-29,540.96,543.5,528.3,534.16,867310,ok
2021-02-01,547.4,555.47,544.53,554.39,849718,ok
2021-02-02,553.78,556.79,549.45,553.5,721677,ok
2021-02-03,551.29,551.72,541.95,542.91,635390,ok
2021-02-04,546.96,555.98,544.28,555.44,554596,ok
2021-02-05,554.96,556.14,551.02,552.81,461694,ok
2021-02-08,557.97,566.93,557.97,564.0,716933,ok
2021-02-09,566.54,571.93,565.495,565.5,483326,ok
2021-02-10,571.43,573.06,559.7,566.89,458702,ok
2021-02-11,574.63,591.79,573.83,591.51,975488,ok
2021-02-12,591.97,601.462,589.15,597.99,732508,ok
2021-02-16,605.58,608.71,599.17,603.14,621739,ok
2021-02-17,598.35,598.48,581.46,587.58,825131,ok
2021-02-18,584.36,589.462,576.05,582.48,716978,ok
2021-02-19,591.84,600.75,589.39,594.4,821530,ok
2021-02-22,587.62,590.12,576.5,578.5,753379,ok
2021-02-23,571.72,579.18,560.13,576.07,1004841,ok
2021-02-24,573.34,595.96,565.55,595.01,1023241,ok
2021-02-25,582.63,586.4,559.66,559.77,1288938,ok
2021-02-26,572.34,573.49,560.7,567.09,946636,ok
2021-03-01,572.37,584.36,568.86,583.55,679699,ok
2021-03-02,579.03,579.87,563.0,563.14,696344,ok
2021-03-03,564.59,565.95,541.195,543.6,1006896,ok
2021-03-04,537.85,541.33,502.0889,510.5,1702546,ok
2021-03-05,527.97,530.85,508.33,527.04,1370149,ok
2021-03-08,526.44,529.17,501.11,502.19,1180748,ok
2021-03-09,527.64,543.21,524.95,539.52,1240467,ok
2021-03-10,540.08,541.82,521.11,523.33,876833,ok
2021-03-11,546.99,548.49,540.01,544.4,1009724,ok
2021-03-12,534.12,539.08,528.6,537.63,714993,ok
2021-03-15,538.67,547.8,536.01,547.19,582449,ok
2021-03-16,546.38,555.73,545.96,549.38,651569,ok
2021-03-17,548.22,566.05,542.86,559.57,841380,ok
2021-03-18,547.98,552.475,539.02,539.19,790141,ok
2021-03-19,544.69,557.09,541.31,547.42,1404627,ok
2021-03-22,567.64,577.99,563.83,575.99,1216927,ok
2021-03-23,569.52,571.28,555.5,558.87,866282,ok
2021-03-24,587.18,594.465,578.0,578.58,2121661,ok
