Date,Open,High,Low,Close,Volume,Status
2022-02-02,50.0348,56.23,49.8,53.01,23860902,ok
2022-02-03,52.19,56.57,50.3,53.62,8425481,ok
2022-02-04,52.6,54.33,50.12,50.14,6757988,ok
2022-02-07,50.0,50.04,46.0,46.07,9432628,ok
2022-02-08,45.13,47.56,44.17,45.5,7277450,ok
2022-02-09,44.75,47.45,43.88,47.31,4393344,ok
2022-02-10,45.51,48.5,45.38,47.05,2449951,ok
2022-02-11,46.76,48.91,46.06,48.09,3456845,ok
2022-02-14,48.19,49.0,46.99,48.11,2155058,ok
2022-02-15,47.7,48.45,47.2,48.0,2359830,ok
2022-02-16,47.72,48.47,46.95,47.2,5855330,ok
2022-02-17,46.32,47.08,45.19,45.29,3142569,ok
2022-02-18,45.15,45.9,44.8,45.41,2018663,ok
2022-02-22,45.41,45.68,43.49,43.54,2611185,ok
2022-02-23,43.69,43.99,42.18,43.09,2791223,ok
2022-02-24,43.15,44.59,42.22,44.32,2447912,ok
2022-02-25,44.3,44.93,43.74,43.91,2040943,ok
2022-02-28,43.3,46.62,42.46,45.98,5534951,ok
2022-03-01,45.62,48.05,45.35,47.79,4212869,ok
2022-03-02,48.0,50.3,47.33,49.46,3517056,ok
2022-03-03,49.82,50.33,47.547,49.52,2072389,ok
2022-03-04,49.17,51.04,48.25,51.0,2544707,ok
2022-03-07,51.06,52.58,49.87,51.65,2727118,ok
2022-03-08,51.18,55.32,50.85,52.32,3873722,ok
2022-03-09,52.44,53.68,50.59,51.33,3050627,ok
2022-03-10,50.57,51.64,49.27,51.32,2692839,ok
2022-03-11,51.42,51.84,48.29,49.32,3034078,ok
2022-03-14,51.86,51.86,48.59,50.95,2916589,ok
2022-03-15,51.34,51.59,49.9,51.29,2117498,ok
2022-03-16,51.71,52.4,50.35,51.77,2989796,ok
2022-03-17,51.88,52.71,50.91,50.99,2244591,ok
2022-03-18,50.65,51.41,48.88,49.01,9663926,ok
2022-03-21,48.91,49.43,48.6,49.22,2451957,ok
2022-03-22,50.35,52.05,50.01,51.14,3841909,ok
2022-03-23,50.7,51.77,50.7,50.99,2396297,ok
2022-03-24,51.18,52.58,50.7671,52.41,2335188,ok
2022-03-25,52.24,53.82,52.03,53.8,2441194,ok
2022-03-28,54.38,56.85,54.05,56.78,3127207,ok
2022-03-29,57.0,57.39,54.63,56.33,2201291,ok
2022-03-30,56.17,57.79,55.7,57.5,1934119,ok
2022-03-31,58.34,59.08,55.78,56.25,3817665,ok
2022-04-01,56.36,58.3,55.7,58.02,2156475,ok
2022-04-04,58.36,58.7,57.53,58.38,1885309,ok
2022-04-05,58.65,60.32,58.45,59.0,2143145,ok
2022-04-06,58.9,60.08,58.37,59.6,2559445,ok
2022-04-07,59.76,61.07,59.35,60.91,3925803,ok
2022-04-08,61.22,64.9,60.9,64.02,4762331,ok
2022-04-11,64.18,64.6615,60.41,60.68,3487831,ok
2022-04-12,61.0,63.21,60.88,61.87,2552972,ok
2022-04-13,62.04,64.55,61.75,64.2,3405742,ok
2022-04-14,64.12,64.71,62.2,62.55,1860072,ok
