Date,Open,High,Low,Close,Volume,Status
2020-01-02,205.68,207.2351,203.1,204.72,624689,ok
2020-01-03,200.0,203.83,198.48,200.85,766912,ok
2020-01-06,198.79,203.17,198.0,202.86,516358,ok
2020-01-07,202.86,205.43,201.3,204.85,533374,ok
2020-01-08,204.85,207.79,204.63,206.98,673925,ok
2020-01-09,208.5,208.9,205.93,206.8,475380,ok
2020-01-10,207.2,209.66,206.14,207.46,459928,ok
2020-01-13,208.05,211.5,207.9,211.15,607282,ok
2020-01-14,211.91,214.35,211.11,213.05,646960,ok
2020-01-15,211.02,216.19,210.72,213.39,581183,ok
2020-01-16,215.99,219.41,214.57,219.25,639540,ok
2020-01-17,220.0,222.72,219.1751,221.87,996237,ok
2020-01-21,221.31,224.0,219.3,221.24,620059,ok
2020-01-22,222.0,225.91,221.67,222.72,452372,ok
2020-01-23,224.14,230.98,221.48,230.06,847099,ok
2020-01-24,234.75,241.89,234.34,238.05,1608837,ok
2020-01-27,230.1,236.71,227.4229,234.97,1200956,ok
2020-01-28,235.44,237.84,234.75,236.72,616280,ok
2020-01-29,237.84,239.02,234.52,235.05,452131,ok
2020-01-30,229.11,233.63,228.15,231.74,691499,ok
2020-01-31,230.54,230.54,222.84,223.34,1001167,ok
2020-02-03,225.65,227.38,223.64,225.27,564388,ok
2020-02-04,228.55,231.67,227.92,231.32,493555,ok
2020-02-05,233.8,234.63,229.555,229.91,658136,ok
2020-02-06,230.76,233.34,229.03,232.52,464943,ok
2020-02-07,230.58,233.41,230.485,231.77,470399,ok
2020-02-10,230.1,234.555,229.51,232.41,810450,ok
2020-02-11,233.81,234.62,230.26,231.5,709662,ok
2020-02-12,231.83,235.18,231.03,234.46,836306,ok
2020-02-13,232.5,241.35,232.4,237.62,1531233,ok
2020-02-14,217.5,227.0,217.0004,223.47,2114548,ok
2020-02-18,223.18,226.3,220.39,225.79,861041,ok
2020-02-19,225.97,227.44,223.03,225.02,719048,ok
2020-02-20,224.4,228.76,223.64,228.28,747045,ok
2020-02-21,223.49,224.57,220.27,223.46,964508,ok
2020-02-24,209.99,216.36,209.35,213.75,1030580,ok
2020-02-25,216.38,217.49,202.51,205.99,1278849,ok
2020-02-26,207.1,209.13,202.81,203.14,822558,ok
2020-02-27,199.05,203.47,193.05,193.18,1099322,ok
2020-02-28,187.01,196.11,185.78,193.12,1217238,ok
2020-03-02,194.68,197.18,190.15,196.59,916497,ok
2020-03-03,196.49,198.85,188.62,191.75,698751,ok
2020-03-04,197.73,201.86,193.28,201.63,714233,ok
2020-03-05,196.93,201.96,195.9,196.56,560093,ok
2020-03-06,191.56,195.31,186.79,190.78,965345,ok
2020-03-09,177.39,189.62,177.39,185.69,1177667,ok
2020-03-10,189.51,200.435,184.47,199.96,1359915,ok
2020-03-11,194.68,196.09,181.155,182.2,1460242,ok
2020-03-12,168.66,174.19,162.58,162.89,2067624,ok
2020-03-13,171.47,177.05,157.43,176.76,1073630,ok
2020-03-16,161.16,171.23,156.89,157.04,1029737,ok
2020-03-17,160.91,172.26,157.6535,168.2,1494687,ok
2020-03-18,157.73,185.32,157.73,177.0,1988031,ok
2020-03-19,175.73,189.72,172.65,177.88,933020,ok
2020-03-20,180.53,187.767,163.51,164.48,1143824,ok
2020-03-23,163.95,167.65,156.63,161.88,981706,ok
2020-03-24,171.72,189.53,170.0,186.56,1473803,ok
2020-03-25,187.5,196.6881,185.03,188.33,1514557,ok
2020-03-26,188.67,202.66,186.535,200.57,1187484,ok
2020-03-27,193.22,196.16,189.785,191.29,915277,ok
2020-03-30,191.01,206.94,189.08,205.73,1040149,ok
2020-03-31,204.38,208.6182,199.22,202.55,1133124,ok
2020-04-01,194.59,199.56,188.99,192.77,856464,ok
2020-04-02,190.25,198.13,189.06,194.1,663528,ok
2020-04-03,193.69,197.71,192.18,194.64,844376,ok
2020-04-06,200.3,208.57,198.72,207.6,998611,ok
2020-04-07,213.0,215.44,207.37,209.14,851647,ok
2020-04-08,212.13,215.87,210.31,214.59,794298,ok
2020-04-09,211.22,212.5,206.35,209.91,1384357,ok
2020-04-13,209.0,211.0,200.67,202.08,875324,ok
2020-04-14,206.81,210.63,205.0,207.31,731425,ok
2020-04-15,204.25,206.55,201.52,204.19,477265,ok
2020-04-16,205.0,210.76,203.0,205.21,773937,ok
2020-04-17,209.97,211.82,205.45,210.02,714481,ok
2020-04-20,209.19,214.04,208.02,211.99,604280,ok
2020-04-21,210.08,210.72,200.0,200.05,719984,ok
2020-04-22,206.88,212.81,205.03,211.37,579474,ok
2020-04-23,211.26,213.66,208.25,209.23,389988,ok
2020-04-24,211.34,216.92,210.6105,216.81,629361,ok
2020-04-27,219.0,220.61,215.745,217.91,634993,ok
2020-04-28,220.0,221.69,217.15,218.03,651276,ok
2020-04-29,221.83,224.0,220.51,222.04,1080683,ok
2020-04-30,220.8,221.34,217.09,219.3,744435,ok
2020-05-01,215.86,216.03,205.72,207.64,761867,ok
2020-05-04,206.8,211.0,205.51,211.0,612425,ok
2020-05-05,213.65,221.55,212.51,220.44,1256039,ok
2020-05-06,206.5,212.25,201.25,208.01,2490478,ok
2020-05-07,212.22,214.54,209.64,210.43,1104358,ok
2020-05-08,213.28,218.77,211.93,218.01,1084948,ok
2020-05-11,217.13,225.56,215.32,224.58,807928,ok
2020-05-12,228.11,229.51,220.69,221.1,932901,ok
2020-05-13,220.82,223.86,209.09,213.72,1041425,ok
2020-05-14,209.84,212.5499,202.6,205.59,787217,ok
2020-05-15,203.53,210.98,202.965,210.45,822621,ok
2020-05-18,215.27,219.19,214.0,215.62,546599,ok
2020-05-19,215.48,221.19,214.64,219.76,491124,ok
2020-05-20,222.48,225.58,221.94,224.7,726283,ok
2020-05-21,223.0,226.61,222.37,223.08,556570,ok
2020-05-22,224.94,225.8,218.35,220.17,478633,ok
2020-05-26,224.0,227.375,222.03,222.35,419058,ok
2020-05-27,223.28,227.44,218.77,227.31,465170,ok
2020-05-28,227.4,229.31,222.39,222.92,612917,ok
2020-05-29,223.69,234.44,222.5,233.46,962561,ok
2020-06-01,232.99,236.0,230.24,234.64,541046,ok
2020-06-02,234.7,234.7,226.0,230.45,883917,ok
2020-06-03,230.4,232.96,228.0834,231.27,616521,ok
2020-06-04,229.08,232.925,226.39,228.66,450106,ok
2020-06-05,234.0,237.19,232.9,235.17,550929,ok
2020-06-08,235.06,237.0,230.45,231.79,431489,ok
2020-06-09,231.2,234.48,229.55,231.4,428712,ok
2020-06-10,232.26,234.96,229.62,232.77,347239,ok
2020-06-11,228.0,228.0,217.65,218.8,880893,ok
2020-06-12,226.01,227.4,217.81,222.78,616108,ok
2020-06-15,217.99,226.7,215.84,225.85,433180,ok
2020-06-16,234.08,235.28,227.95,229.56,519462,ok
2020-06-17,230.53,231.3925,226.145,226.54,572791,ok
2020-06-18,223.18,224.519,216.01,219.45,1146159,ok
