Date,Open,High,Low,Close,Volume,Status
2020-01-02,51.64,51.87,51.24,51.76,2806703,ok
2020-01-03,51.23,51.47,50.94,51.36,2358781,ok
2020-01-06,51.13,51.64,51.04,51.4,2699832,ok
2020-01-07,51.35,51.43,50.72,51.11,4580719,ok
2020-01-08,51.11,52.25,51.11,51.71,4832134,ok
2020-01-09,52.07,52.29,51.6575,52.28,3219821,ok
2020-01-10,52.3,52.64,51.88,52.03,5483011,ok
2020-01-13,52.09,52.62,51.82,52.62,6039482,ok
2020-01-14,52.57,53.1,52.18,52.34,5277001,ok
2020-01-15,52.01,52.33,51.4,51.78,4094959,ok
2020-01-16,52.12,52.58,52.12,52.36,3822233,ok
2020-01-17,52.53,53.08,52.53,52.9,5818562,ok
2020-01-21,52.55,52.7,51.58,51.67,4215138,ok
2020-01-22,51.86,52.44,51.64,52.26,4341548,ok
2020-01-23,51.72,51.95,51.25,51.61,3307098,ok
2020-01-24,51.67,51.67,50.5,51.06,3227062,ok
2020-01-27,50.1,50.34,49.89,50.13,3634699,ok
2020-01-28,50.4,50.93,50.29,50.41,4131916,ok
2020-01-29,50.59,50.85,50.33,50.35,2964368,ok
2020-01-30,50.0,51.35,49.91,51.3,2979288,ok
2020-01-31,50.75,51.15,49.94,50.26,5736268,ok
2020-02-03,50.52,51.38,50.43,51.16,2916645,ok
2020-02-04,51.79,52.08,50.58,50.65,3441118,ok
2020-02-05,51.38,52.65,51.27,52.48,4408399,ok
2020-02-06,52.87,53.6,52.64,53.41,5286399,ok
2020-02-07,52.98,53.76,52.93,53.46,3766298,ok
2020-02-10,53.46,54.15,53.36,54.14,2756754,ok
2020-02-11,54.34,54.8399,54.18,54.47,4656789,ok
2020-02-12,54.9,55.095,54.28,54.28,3984127,ok
2020-02-13,55.77,56.42,50.9,50.93,13179801,ok
2020-02-14,49.86,50.66,48.29,48.48,11891212,ok
2020-02-18,48.11,49.01,47.835,49.01,9404053,ok
2020-02-19,49.4,49.78,49.1,49.41,5756034,ok
2020-02-20,49.41,49.94,49.2,49.8,5507092,ok
2020-02-21,49.55,49.78,48.59,48.6,4913794,ok
2020-02-24,47.5,47.685,45.59,45.7,9774169,ok
2020-02-25,45.85,46.34,45.19,45.24,8705976,ok
2020-02-26,45.49,46.1294,44.73,45.0,7270000,ok
2020-02-27,44.34,45.19,43.39,43.41,7159503,ok
2020-02-28,42.28,42.95,41.31,42.16,10908322,ok
2020-03-02,42.11,42.89,41.43,42.85,10262199,ok
2020-03-03,42.68,43.88,41.17,41.49,11832162,ok
2020-03-04,41.91,42.65,41.37,42.54,8324248,ok
2020-03-05,41.0,41.71,40.18,40.65,9251376,ok
2020-03-06,39.16,39.55,37.42,37.84,14681430,ok
2020-03-09,34.61,35.0,30.41,32.81,19741438,ok
2020-03-10,34.58,37.18,33.17,35.07,10322098,ok
2020-03-11,33.68,34.3,31.9,32.43,10814889,ok
2020-03-12,29.66,29.78,25.5,25.67,13594514,ok
2020-03-13,27.55,28.58,25.09,28.5,11920610,ok
2020-03-16,23.88,25.32,22.4,23.25,15835890,ok
2020-03-17,23.98,24.03,20.52,22.25,15057893,ok
2020-03-18,20.62,21.29,16.07,18.78,13531026,ok
2020-03-19,18.49,21.38,17.52,20.6,11718957,ok
2020-03-20,20.81,21.25,19.14,19.23,12948460,ok
2020-03-23,18.96,20.08,18.08,19.3,9604905,ok
2020-03-24,21.03,23.3,20.74,22.93,11436769,ok
2020-03-25,23.2,27.75,22.03,25.72,14365079,ok
2020-03-26,25.81,27.7,25.5,27.51,11286661,ok
2020-03-27,26.0,26.76,25.01,25.51,9473490,ok
2020-03-30,25.0,25.99,24.07,25.71,8377553,ok
2020-03-31,25.48,25.79,23.8801,24.25,9555177,ok
2020-04-01,22.7,22.87,21.01,21.61,10498725,ok
2020-04-02,21.11,22.83,21.08,21.25,9317762,ok
2020-04-03,21.25,21.69,19.9,20.46,9573017,ok
2020-04-06,21.95,22.19,20.82,21.52,15414348,ok
2020-04-07,23.46,24.96,22.9,23.26,12731573,ok
2020-04-08,23.76,24.58,23.25,24.13,8539518,ok
2020-04-09,24.95,27.65,24.89,26.54,11974672,ok
2020-04-13,26.64,27.0,24.43,25.63,7367803,ok
2020-04-14,26.3,27.1,25.23,25.78,8139687,ok
2020-04-15,24.2,24.45,23.27,24.08,9225184,ok
2020-04-16,23.85,24.12,22.94,23.18,8829444,ok
